ESPAÑOL,,,,ACTIVO,,,RESERVA,,,,,,OBLPN,,,,,
ORGANIZACIÓN,PRODUCTO,DESCRIPCIÓN DEL PRODUCTO,CUPO,DISPONIBLE,ASIGNADO,TOTAL EN ACTIVO,RECIBIDO,UBICADO,PARCIALMENTE ASIGNADO,ASIGNADO,PERDIDO,TOTAL EN RESERVA,EN PICKING,EMPACADO,CARGADO,TOTAL OBLPN,TOTAL EN UOM,TOTAL EN PIEZAS
FAT,0800,Chips Jalapeno 1p 170g FLOW BAR,11,224,37,261,0,6468,0,245,0,6713,0,229,0,229,7203,79233
FAT,123051,Takis Original 1p 80g FLOW BAR,42,258,0,258,0,1617,0,0,0,1617,0,22,0,22,1897,79674
FAT,123052,Takis Fuego 1p 80g FLOW BAR,42,206,0,206,0,3234,0,147,0,3381,0,99,0,99,3686,154812
FAT,123258,Runners Pc 1p 280g FLOW BAR,15,115,0,115,0,744,0,0,0,744,0,0,0,0,859,12885
FAT,123308,Golden Nuts Salado Pc 1p 150g FLOW BAR,25,109,0,109,0,330,0,0,0,330,0,2,0,2,441,11025
FAT,123310,Golden Nuts Enchilado Pc 1p 150g FLOW BAR,25,98,3,101,0,440,0,0,0,440,0,3,0,3,544,13600
FAT,123316,Hot Nuts Pc 1p 200g FLOW BAR,24,531,0,531,0,440,0,0,0,440,0,20,0,20,991,23784
FAT,123790,Chicharron De Cerdo 1p 110g FLOW BAR,12,28,0,28,0,30,0,0,0,30,0,0,0,0,58,696
FAT,124237,Big Mix Fuego Nvo 1p 200g FLOW BAR,10,130,0,130,0,349,0,0,0,349,0,0,0,0,479,4790
FAT,124239,Takis Fuego 1p 56g FLOW BAR,48,686,0,686,0,5733,0,0,0,5733,0,60,0,60,6479,310992
FAT,124358,Takis Original 1p 56g FLOW BAR,48,451,0,451,0,2002,0,91,0,2093,0,22,0,22,2566,123168
FAT,124381,Chips Fuego 1p 42g FLOW BAR,30,89,0,89,0,163,0,0,0,163,0,0,0,0,252,7560
