Orden,Articulo,Texto breve personalizado de detalle 5,Descripcion de articulo,Cantidad de orden original,Cantidad solicitada,Cantidad asignada,Cantidad empaquetada,orderdtlstatus,Fecha de caducidad de comprobante,Descripcion de articulo 3,Codigo de barras de articulo,Precio de venta,Atributo H,Atributo I,Detalle de orden - Campo personalizado 5,Fecha personalizada de detalle 5,Codigos de articulos alternativos,Detalle de orden - Campo personalizado 1,Crear usuario,Usuario de modificacion,Fecha de Creacion
3077005,45973,PK,Karameladas Pop 1p 120g FLOW BAR,14,14,0,0,Created,10/12/2024,CB2,7501030459736,533,MXBAR,FAT,26,10/12/2024,45973,TARIMA,ocswebservicemx,ocswebservicemx,10/12/2024 14:23
9767026,128942,FP,Takis Blue Heat 1p 56g FLOW BAR EXP,324,324,0,0,Created,10/18/2024,CT,757528049850,0.27,MXBAR,FAT,,10/18/2024,128942,,ocswebservicemx,ocswebservicemx,10/18/2024 15:45
3092866,127436,PK,Takis Fuego NE 1p 65g FLOW BAR,14,14,0,0,Created,10/18/2024,CT1,7503034673767,435.4,MXBAR,FAT,35,10/18/2024,127436,TARIMA,ocswebservicemx,ocswebservicemx,10/18/2024 15:24
3092863,127436,PK,Takis Fuego NE 1p 65g FLOW BAR,44,44,0,0,Created,10/18/2024,CT1,7503034673767,435.4,MXBAR,FAT,35,10/18/2024,127436,TARIMA,ocswebservicemx,ocswebservicemx,10/18/2024 15:24
3092863,127436,FP,Takis Fuego NE 1p 65g FLOW BAR,91,91,0,0,Created,10/18/2024,CT1,7503034673767,435.4,MXBAR,FAT,35,10/18/2024,127436,TARIMA,ocswebservicemx,ocswebservicemx,10/18/2024 15:24
3092862,127436,PK,Takis Fuego NE 1p 65g FLOW BAR,48,48,0,0,Created,10/18/2024,CT1,7503034673767,435.4,MXBAR,FAT,35,10/18/2024,127436,TARIMA,ocswebservicemx,ocswebservicemx,10/18/2024 15:24
3092834,127436,PK,Takis Fuego NE 1p 65g FLOW BAR,25,25,0,0,Created,10/18/2024,CT1,7503034673767,435.4,MXBAR,FAT,35,10/18/2024,127436,TARIMA,ocswebservicemx,ocswebservicemx,10/18/2024 15:24
3092832,127436,PK,Takis Fuego NE 1p 65g FLOW BAR,17,17,0,0,Created,10/18/2024,CT1,7503034673767,435.4,MXBAR,FAT,35,10/18/2024,127436,TARIMA,ocswebservicemx,ocswebservicemx,10/18/2024 15:24
3092827,127436,PK,Takis Fuego NE 1p 65g FLOW BAR,26,26,0,0,Created,10/18/2024,CT1,7503034673767,435.4,MXBAR,FAT,35,10/18/2024,127436,TARIMA,ocswebservicemx,ocswebservicemx,10/18/2024 15:24
9760252,514879,FP,Chips Habanero 1p 36g FLOW BAR EXP,1344,1344,0,0,Created,10/18/2024,CT,7500810028063,11.45,MXBAR,FAT,,10/18/2024,514879,,ocswebservicemx,ocswebservicemx,10/18/2024 10:15
9764194,514879,FP,Chips Habanero 1p 36g FLOW BAR EXP,224,224,0,0,Created,10/18/2024,CT,7500810028063,9.04,MXBAR,FAT,,10/18/2024,514879,,ocswebservicemx,ocswebservicemx,10/18/2024 10:45
9763116,128941,FP,Takis Blue Heat 1p 90g FLOW BAR EXP,1216,1216,0,0,Created,10/18/2024,CT,757528049843,16.8,MXBAR,FAT,,10/18/2024,128941,,ocswebservicemx,ocswebservicemx,10/17/2024 20:45
9760239,514879,FP,Chips Habanero 1p 36g FLOW BAR EXP,224,224,0,0,Created,10/18/2024,CT,7500810028063,9.04,MXBAR,FAT,,10/18/2024,514879,,ocswebservicemx,ocswebservicemx,10/17/2024 20:45
9764066,514879,FP,Chips Habanero 1p 36g FLOW BAR EXP,784,784,0,0,Created,10/18/2024,CT,7500810028063,7.8,MXBAR,FAT,,10/18/2024,514879,,ocswebservicemx,ocswebservicemx,10/17/2024 19:45
9764066,128940,FP,Takis Blue Heat 1p 190g FLOW BAR EXP,810,810,0,0,Created,10/18/2024,CT,757528049836,11.26,MXBAR,FAT,,10/18/2024,128940,,ocswebservicemx,ocswebservicemx,10/17/2024 19:45
9761379,125030,FP,Big Mix Fuego 1p 185g FLOW BAR,49,49,0,0,Created,10/18/2024,CB2,757528039271,8.46,MXBAR,FAT,,10/18/2024,125030,,ocswebservicemx,ocswebservicemx,10/17/2024 19:45
9761367,514881,FP,Chips Habanero 1p 170g FLOW BAR EXP,432,432,0,0,Created,10/18/2024,CT,7500810028087,8.8,MXBAR,FAT,,10/18/2024,514881,,ocswebservicemx,ocswebservicemx,10/17/2024 19:45
9761367,128941,FP,Takis Blue Heat 1p 90g FLOW BAR EXP,128,128,0,0,Created,10/18/2024,CT,757528049843,11.55,MXBAR,FAT,,10/18/2024,128941,,ocswebservicemx,ocswebservicemx,10/17/2024 19:45
9761367,128940,FP,Takis Blue Heat 1p 190g FLOW BAR EXP,675,675,0,0,Created,10/18/2024,CT,757528049836,9.12,MXBAR,FAT,,10/18/2024,128940,,ocswebservicemx,ocswebservicemx,10/17/2024 19:45
9764106,514929,FP,Runners Limon Sal 1p 72g FLOW BAR,147,0,0,0,Cancelled,10/18/2024,CB2,7500810028599,116.2,MXBAR,FAT,,10/18/2024,514929,,ocswebservicemx,asanchezrmx,10/17/2024 19:15
9764098,514840,FP,Takis Fuego 42p 50g FLOW BAR EXP,2240,2240,0,0,Created,10/18/2024,CU,7500810027400,9.66,MXBAR,FAT,,10/18/2024,514840,,ocswebservicemx,ocswebservicemx,10/17/2024 18:46
9763072,514840,FP,Takis Fuego 42p 50g FLOW BAR EXP,2240,2240,0,0,Created,10/18/2024,CU,7500810027400,9.66,MXBAR,FAT,,10/18/2024,514840,,ocswebservicemx,ocswebservicemx,10/17/2024 18:46
9763071,514882,FP,Takis Blue Heat 42p 50g FLOW BAR EXP,2240,2240,0,0,Created,10/18/2024,CU,7500810028094,8.82,MXBAR,FAT,,10/18/2024,514882,,ocswebservicemx,ocswebservicemx,10/17/2024 18:46
9761311,514882,FP,Takis Blue Heat 42p 50g FLOW BAR EXP,1120,1120,0,0,Created,10/18/2024,CU,7500810028094,8.82,MXBAR,FAT,,10/18/2024,514882,,ocswebservicemx,ocswebservicemx,10/17/2024 18:46
9761311,515069,FP,Takis Blue Heat 20p 185g FLOW BAR EXP,320,320,0,0,Created,10/18/2024,CU,7500810031032,12.6,MXBAR,FAT,,10/18/2024,515069,,ocswebservicemx,ocswebservicemx,10/17/2024 18:46
9761311,514840,FP,Takis Fuego 42p 50g FLOW BAR EXP,560,560,0,0,Created,10/18/2024,CU,7500810027400,9.66,MXBAR,FAT,,10/18/2024,514840,,ocswebservicemx,ocswebservicemx,10/17/2024 18:46
9761310,514882,FP,Takis Blue Heat 42p 50g FLOW BAR EXP,2240,2240,0,0,Created,10/18/2024,CU,7500810028094,8.82,MXBAR,FAT,,10/18/2024,514882,,ocswebservicemx,ocswebservicemx,10/17/2024 18:46
